first,last,pos,value,id,W,SV,SO,-ERA,-WHIP,QS(=1),H,BB,IPOuts,HBP,IBB,L,G,GS,CG,SHO,ER,HR,WP,BK,BFP,GF,R,age,years played,weight,height
David,Aardsma,P,-10.1858375991,aardsda01,1,0,35,-4.7,-0.42391304347826086,1,25.0,14.0,92.0,1.0,3.0,1.0,33.0,0.0,0.0,0.0,16.0,6.0,1.0,0.0,129.0,9.0,17.0,34,11,220,75
Nathan,Adcock,P,-16.3570750993,adcocna01,1,0,13,-6.0,-0.5,1,15.0,12.0,54.0,1.0,0.0,2.0,13.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0,83.0,4.0,12.0,27,4,235,76
Jeremy,Affeldt,P,-14.1012058887,affelje01,2,0,21,-5.86,-0.5377358490566038,1,43.0,14.0,106.0,2.0,2.0,2.0,52.0,0.0,0.0,0.0,23.0,6.0,1.0,0.0,163.0,7.0,24.0,36,13,225,76
Dario,Alvarez,P,-18.8418114323,alvarda01,1,0,2,-12.27,-0.5454545454545454,1,5.0,1.0,11.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,19.0,0.0,5.0,26,1,170,73
Henderson,Alvarez,P,-17.4324847042,alvarhe01,0,0,9,-6.45,-0.5223880597014925,1,28.0,7.0,67.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,16.0,1.0,3.0,1.0,102.0,0.0,18.0,25,4,205,72
Alexi,Amarista,OF,-20.703567946,amarial01,0,0,0,-0.0,-0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26,4,160,66
Brett,Anderson,P,12.7251733453,anderbr04,10,0,116,-3.69,-0.4436229205175601,1,194.0,46.0,541.0,2.0,2.0,9.0,31.0,31.0,1.0,0.0,74.0,18.0,4.0,2.0,750.0,0.0,82.0,27,6,240,75
Chase,Anderson,P,11.4514176429,anderch01,6,0,111,-4.3,-0.43231441048034935,1,158.0,40.0,458.0,7.0,2.0,6.0,27.0,27.0,0.0,0.0,73.0,18.0,3.0,0.0,640.0,0.0,75.0,28,1,194,73
Elvis,Araujo,P,-10.6375907161,araujel01,2,0,34,-3.38,-0.46153846153846156,1,29.0,19.0,104.0,0.0,1.0,1.0,40.0,0.0,0.0,0.0,13.0,1.0,2.0,0.0,151.0,5.0,17.0,24,0,270,79
Jake,Arrieta,P,46.6538324905,arrieja01,22,0,236,-1.77,-0.28820960698689957,1,150.0,48.0,687.0,6.0,2.0,6.0,33.0,33.0,4.0,3.0,45.0,10.0,6.0,0.0,870.0,0.0,52.0,29,5,225,76
Alec,Asher,P,-15.1188965859,asheral01,0,0,16,-9.31,-0.5977011494252874,1,42.0,10.0,87.0,1.0,0.0,6.0,7.0,7.0,0.0,0.0,30.0,8.0,2.0,2.0,138.0,0.0,30.0,24,0,230,76
Phillippe,Aumont,P,-18.3996809874,aumonph01,0,0,3,-13.5,-1.0,1,5.0,7.0,12.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,2.0,1.0,0.0,23.0,0.0,6.0,26,3,240,79
Luis,Avilan,P,-11.4766931348,avilalu01,2,0,31,-3.58,-0.39823008849557523,1,35.0,10.0,113.0,0.0,2.0,4.0,50.0,0.0,0.0,0.0,15.0,4.0,1.0,1.0,154.0,7.0,15.0,26,3,220,74
Luis,Avilan,P,-14.9878820822,avilalu01,0,0,18,-5.17,-0.3829787234042553,1,13.0,5.0,47.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0,9.0,2.0,1.0,0.0,66.0,2.0,9.0,26,3,220,74
Dylan,Axelrod,P,-16.4811177769,axelrdy01,0,0,12,-7.3,-0.5135135135135135,1,11.0,8.0,37.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,59.0,3.0,13.0,30,4,185,72
John,Axford,P,3.74425974179,axforjo01,4,25,62,-4.2,-0.5269461077844312,1,56.0,32.0,167.0,0.0,4.0,5.0,60.0,0.0,0.0,0.0,26.0,4.0,1.0,0.0,250.0,43.0,27.0,32,6,220,77
Burke,Badenhop,P,-10.0051280743,badenbu01,2,0,36,-3.93,-0.457286432160804,1,71.0,20.0,199.0,0.0,4.0,4.0,68.0,0.0,0.0,0.0,29.0,4.0,0.0,0.0,285.0,17.0,30.0,32,7,210,77
Pedro,Baez,P,-3.23083553465,baezpe01,4,0,60,-3.35,-0.3790849673202614,1,47.0,11.0,153.0,1.0,1.0,2.0,52.0,0.0,0.0,0.0,19.0,4.0,1.0,1.0,208.0,8.0,22.0,27,1,230,72
Homer,Bailey,P,-19.2486145091,baileho02,0,0,3,-5.56,-0.5882352941176471,1,16.0,4.0,34.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,7.0,3.0,0.0,0.0,51.0,0.0,7.0,29,8,225,76
Scott,Baker,P,-17.796294793,bakersc02,0,0,8,-5.73,-0.42424242424242425,1,11.0,3.0,33.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,7.0,4.0,1.0,0.0,45.0,0.0,7.0,34,10,215,76
Collin,Balester,P,-16.1999047873,balesco01,1,0,13,-7.47,-0.6382978723404256,1,17.0,13.0,47.0,1.0,0.0,1.0,15.0,0.0,0.0,0.0,13.0,3.0,1.0,0.0,77.0,5.0,13.0,29,7,190,76
Manny,Banuelos,P,-14.7291219943,banuema01,1,0,19,-5.13,-0.5316455696202531,1,30.0,12.0,79.0,3.0,0.0,4.0,7.0,6.0,0.0,0.0,15.0,4.0,1.0,0.0,121.0,0.0,17.0,24,0,205,70
Kyle,Barraclough,P,-11.8693712401,barraky01,2,0,30,-2.59,-0.410958904109589,1,12.0,18.0,73.0,0.0,2.0,1.0,25.0,0.0,0.0,0.0,7.0,1.0,1.0,0.0,98.0,5.0,8.0,25,0,225,75
Aaron,Barrett,P,-10.244113218,barreaa01,3,0,35,-4.6,-0.3977272727272727,1,28.0,7.0,88.0,3.0,0.0,3.0,40.0,0.0,0.0,0.0,15.0,1.0,1.0,0.0,123.0,8.0,15.0,27,1,225,75
Yhonathan,Barrios,P,-18.6957669654,barriyh01,0,0,7,-0.0,-0.15,1,3.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,24,0,200,70
Antonio,Bastardo,P,-1.87065828055,bastaan01,4,1,64,-2.98,-0.37790697674418605,1,39.0,26.0,172.0,3.0,2.0,1.0,66.0,0.0,0.0,0.0,19.0,4.0,8.0,0.0,239.0,18.0,19.0,30,6,205,71
Brandon,Beachy,P,-18.4269059815,beachbr01,0,0,5,-7.88,-0.6666666666666666,1,10.0,6.0,24.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,39.0,0.0,7.0,29,5,215,74
Dallas,Beeler,P,-17.6565183721,beeleda01,0,0,7,-9.72,-0.84,1,14.0,7.0,25.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,46.0,0.0,11.0,26,1,210,77
Matt,Belisle,P,-13.2711694309,belisma01,1,0,25,-2.67,-0.48514851485148514,1,34.0,15.0,101.0,3.0,2.0,1.0,34.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,149.0,10.0,10.0,35,12,225,76
Joaquin,Benoit,P,-2.02107636146,benoijo01,6,2,63,-2.34,-0.3010204081632653,1,36.0,23.0,196.0,2.0,1.0,5.0,67.0,0.0,0.0,0.0,17.0,7.0,2.0,0.0,254.0,11.0,17.0,38,14,250,76
Christian,Bergman,P,-9.65548719376,bergmch01,3,0,37,-4.74,-0.47317073170731705,1,82.0,15.0,205.0,0.0,1.0,1.0,30.0,4.0,0.0,0.0,36.0,8.0,4.0,0.0,286.0,6.0,36.0,27,1,195,73
Rafael,Betancourt,P,-8.36482414174,betanra01,2,1,40,-6.18,-0.4661016949152542,1,43.0,12.0,118.0,0.0,4.0,4.0,45.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,175.0,9.0,29.0,40,12,215,74
Chad,Bettis,P,7.66757633162,bettich01,8,0,98,-4.23,-0.46956521739130436,1,120.0,42.0,345.0,3.0,2.0,6.0,20.0,20.0,0.0,0.0,54.0,11.0,6.0,0.0,502.0,0.0,56.0,26,2,200,73
Chad,Billingsley,P,-15.8243165294,billich01,2,0,15,-5.84,-0.5495495495495496,1,53.0,8.0,111.0,1.0,0.0,3.0,7.0,7.0,0.0,0.0,24.0,5.0,2.0,0.0,165.0,0.0,26.0,31,9,240,73
Joe,Blanton,P,-9.4683454288,blantjo01,5,0,39,-1.57,-0.33980582524271846,1,26.0,9.0,103.0,1.0,4.0,0.0,21.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,137.0,7.0,7.0,35,11,215,75
Michael,Blazek,P,-7.08176575816,blazemi01,5,0,47,-2.43,-0.3473053892215569,1,40.0,18.0,167.0,1.0,1.0,3.0,45.0,0.0,0.0,0.0,15.0,3.0,3.0,0.0,222.0,17.0,17.0,26,2,205,72
Jerry,Blevins,P,-19.5800449804,blevije01,1,0,4,-0.0,-0.0,1,0.0,0.0,15.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,32,8,190,78
Brett,Bochy,P,-19.8430818115,bochybr02,0,0,3,-0.0,-0.2222222222222222,1,1.0,1.0,9.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,28,1,200,74
Mike,Bolsinger,P,7.64993975899,bolsimi01,6,0,98,-3.62,-0.45426829268292684,1,104.0,45.0,328.0,1.0,3.0,6.0,21.0,21.0,0.0,0.0,44.0,11.0,6.0,1.0,466.0,0.0,49.0,27,1,215,73
Silvino,Bracho,P,-15.4189564415,brachsi01,0,1,17,-1.46,-0.35135135135135137,1,9.0,4.0,37.0,1.0,1.0,0.0,13.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,50.0,3.0,2.0,23,0,190,70
Archie,Bradley,P,-13.5339635804,bradlar01,2,0,23,-5.8,-0.5420560747663551,1,36.0,22.0,107.0,2.0,1.0,3.0,8.0,8.0,0.0,0.0,23.0,3.0,0.0,0.0,161.0,0.0,23.0,23,0,230,76
Jake,Brigham,P,-16.3378468803,brighja01,0,0,12,-8.64,-0.72,1,28.0,8.0,50.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,16.0,1.0,2.0,0.0,84.0,4.0,16.0,27,0,210,75
Mike,Broadway,P,-16.4198872683,broadmi01,0,0,13,-5.19,-0.5192307692307693,1,20.0,7.0,52.0,1.0,1.0,2.0,21.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,77.0,5.0,10.0,28,0,215,77
Rex,Brothers,P,-19.1071779404,brothre01,1,0,5,-1.74,-0.5483870967741935,1,9.0,8.0,31.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,46.0,1.0,2.0,28,4,210,72
Brooks,Brown,P,-14.4658153703,brownbr02,1,0,20,-4.91,-0.48484848484848486,1,32.0,16.0,99.0,1.0,0.0,3.0,36.0,0.0,0.0,0.0,18.0,2.0,2.0,0.0,147.0,7.0,18.0,30,1,205,75
Jonathan,Broxton,P,-9.48494706637,broxtjo01,1,0,37,-5.89,-0.4636363636363636,1,41.0,10.0,110.0,0.0,1.0,2.0,40.0,0.0,0.0,0.0,24.0,5.0,0.0,0.0,156.0,10.0,24.0,31,10,305,76
Jonathan,Broxton,P,-13.032993666,broxtjo01,3,0,26,-2.66,-0.4507042253521127,1,20.0,12.0,71.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,101.0,5.0,8.0,31,10,305,76
David,Buchanan,P,-7.38332752861,buchada01,2,0,44,-6.99,-0.6160714285714286,1,109.0,29.0,224.0,3.0,1.0,9.0,15.0,15.0,0.0,0.0,58.0,12.0,2.0,0.0,351.0,0.0,60.0,26,1,200,75
Madison,Bumgarner,P,46.2993681415,bumgama01,18,0,234,-2.93,-0.33587786259541985,1,181.0,39.0,655.0,7.0,2.0,9.0,32.0,32.0,4.0,2.0,71.0,21.0,1.0,0.0,869.0,0.0,73.0,26,6,235,77
Danny,Burawa,P,-17.4450280154,burawda01,0,0,10,-3.65,-0.32432432432432434,1,8.0,4.0,37.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,48.0,4.0,5.0,27,0,210,74
Enrique,Burgos,P,-8.56067762596,burgoen02,2,2,39,-4.67,-0.5185185185185185,1,27.0,15.0,81.0,0.0,0.0,2.0,30.0,0.0,0.0,0.0,14.0,2.0,6.0,0.0,121.0,8.0,15.0,25,0,250,75
A. J.,Burnett,P,20.4388119614,burneaj01,9,0,143,-3.18,-0.4532520325203252,1,174.0,49.0,492.0,11.0,2.0,7.0,26.0,26.0,0.0,0.0,58.0,11.0,6.0,1.0,699.0,0.0,64.0,38,16,230,76
Eddie,Butler,P,-7.52366066078,butleed01,3,0,44,-5.9,-0.6050420168067226,1,102.0,42.0,238.0,4.0,4.0,10.0,16.0,16.0,1.0,0.0,52.0,13.0,0.0,0.0,370.0,0.0,57.0,24,1,180,74
Trevor,Cahill,P,-15.8839382664,cahiltr01,0,0,14,-7.52,-0.5949367088607594,1,36.0,11.0,79.0,1.0,1.0,3.0,15.0,3.0,0.0,0.0,22.0,2.0,1.0,0.0,124.0,6.0,23.0,27,6,240,76
